Date,Cumulative Total Return (Net Dividends)
1950-12-08,16.4466
1950-12-11,18.3673
1950-12-12,18.1273
1950-12-13,18.0672
1950-12-14,16.6266
1950-12-15,16.0264
1950-12-18,19.1477
1950-12-19,19.8079
1950-12-20,19.8679
1950-12-21,19.928
1950-12-22,20.4682
1950-12-26,19.5678
1950-12-27,21.8487
1950-12-28,22.3289
1950-12-29,22.6291
1951-01-02,24.6699
1951-01-03,24.1897
1951-01-04,25.2701
1951-01-05,25.2701
1951-01-08,26.0504
1951-01-09,26.7707
1951-01-10,25.1501
1951-01-11,27.1909
1951-01-12,26.7107
1951-01-15,27.8511
1951-01-16,28.8115
1951-01-17,29.3517
1951-01-18,28.4514
1951-01-19,28.2113
1951-01-22,27.1309
1951-01-23,27.611
1951-01-24,27.0108
1951-01-25,26.2305
1951-01-26,27.611
1951-01-29,30.072
1951-01-30,30.4922
1951-01-31,30.012
1951-02-01,30.6723
1951-02-02,31.8127
1951-02-05,33.2533
1951-02-06,32.7731
1951-02-07,31.9928
1951-02-08,32.593
1951-02-09,33.0732
1951-02-13,33.1333
1951-02-14,32.7731
1951-02-15,32.0528
1951-02-16,32.8331
1951-02-19,31.0324
1951-02-20,30.7923
1951-02-21,31.2125
1951-02-23,31.5726
1951-02-26,31.6327
1951-02-27,30.6122
1951-02-28,30.8523
1951-03-01,31.1525
1951-03-02,31.6327
1951-03-05,30.7923
1951-03-06,30.7923
1951-03-07,31.2125
1951-03-08,31.7527
1951-03-09,31.7527
1951-03-12,30.2521
1951-03-13,28.5114
1951-03-14,27.551
1951-03-15,27.7911
1951-03-16,29.892
1951-03-19,29.4118
1951-03-20,29.1717
1951-03-21,29.892
1951-03-22,30.4322
1951-03-26,29.2317
1951-03-27,29.1116
1951-03-28,27.611
1951-03-29,28.0312
1951-03-30,28.9316
1951-04-02,27.9712
1951-04-03,27.611
1951-04-04,28.4514
1951-04-05,30.1921
1951-04-06,30.3721
1951-04-09,30.1321
1951-04-10,29.952
1951-04-11,29.892
1951-04-12,31.0324
1951-04-13,32.593
1951-04-16,32.2929
1951-04-17,32.593
1951-04-18,32.8331
1951-04-19,32.2929
1951-04-20,32.2929
1951-04-23,32.3529
1951-04-24,31.8127
1951-04-25,31.8727
1951-04-26,33.0132
1951-04-27,34.3938
1951-04-30,34.6339
1951-05-01,35.2341
1951-05-02,35.7743
1951-05-03,36.9148
1951-05-04,36.6747
1951-05-07,35.8343
1951-05-08,35.7143
1951-05-09,35.8944
1951-05-10,35.114
1951-05-11,34.0336
1951-05-14,33.1333
1951-05-15,30.6122
1951-05-16,30.1921
1951-05-17,31.5126
1951-05-18,29.1116
1951-05-21,28.8115
1951-05-22,28.2113
1951-05-23,27.0108
1951-05-24,26.3505
1951-05-25,26.2305
1951-05-28,27.3109
1951-05-29,28.1513
1951-05-31,29.1717
1951-06-01,28.9316
1951-06-04,27.491
1951-06-05,28.0312
1951-06-06,28.9316
1951-06-07,29.4118
1951-06-08,28.9916
1951-06-11,29.7119
1951-06-12,29.1717
1951-06-13,29.3517
1951-06-14,31.0924
1951-06-15,32.2929
1951-06-18,32.3529
1951-06-19,32.1729
1951-06-20,31.5126
1951-06-21,30.7323
1951-06-22,29.3517
1951-06-25,27.7911
1951-06-26,27.8511
1951-06-27,28.2713
1951-06-28,26.6507
1951-06-29,25.8103
1951-07-02,26.6507
1951-07-03,27.431
1951-07-05,29.892
1951-07-06,29.892
1951-07-09,30.4322
1951-07-10,29.8319
1951-07-11,30.1321
1951-07-12,30.8523
1951-07-13,31.9328
1951-07-16,30.4322
1951-07-17,31.5726
1951-07-18,31.3325
1951-07-19,31.0924
1951-07-20,31.3325
1951-07-23,32.6531
1951-07-24,34.6939
1951-07-25,33.9736
1951-07-26,34.874
1951-07-27,35.2341
1951-07-30,35.8343
1951-07-31,34.4538
1951-08-01,35.114
1951-08-02,36.9748
1951-08-03,37.1549
1951-08-06,38.1152
1951-08-07,38.2353
1951-08-08,37.6351
1951-08-09,37.0948
1951-08-10,36.7947
1951-08-13,36.8547
1951-08-14,36.2545
1951-08-15,36.7947
1951-08-16,37.2749
1951-08-17,37.6951
1951-08-20,37.6351
1951-08-21,37.0348
1951-08-22,36.5546
1951-08-23,37.455
1951-08-24,37.3349
1951-08-27,37.1549
1951-08-28,37.455
1951-08-29,38.5354
1951-08-30,39.4958
1951-08-31,39.7359
1951-09-04,39.7359
1951-09-05,40.5762
1951-09-06,40.8764
1951-09-07,41.2365
1951-09-10,41.7767
1951-09-11,41.0564
1951-09-12,41.6567
1951-09-13,42.3169
1951-09-14,42.1969
1951-09-17,41.7767
1951-09-18,41.5966
1951-09-19,41.5966
1951-09-20,41.4766
1951-09-21,40.4562
1951-09-24,39.8559
1951-09-25,40.3361
1951-09-26,40.4562
1951-09-27,39.6759
1951-09-28,39.6158
1951-10-01,40.8764
1951-10-02,41.8968
1951-10-03,42.7971
1951-10-04,42.3769
1951-10-05,42.7371
1951-10-08,42.557
1951-10-09,41.9568
1951-10-10,41.7167
1951-10-11,42.2569
1951-10-15,43.1573
1951-10-16,42.6771
1951-10-17,42.1969
1951-10-18,42.0768
1951-10-19,39.976
1951-10-22,36.5546
1951-10-23,37.0948
1951-10-24,38.2353
1951-10-25,37.8151
1951-10-26,36.9148
1951-10-29,36.1945
1951-10-30,36.0144
